ID,Name,Description,Price,Level,ItemType,StatType0,StatModifierFixed0,StatType1,StatModifierFixed1,StatType2,StatModifierFixed2
1,마철모 1단계,마철모,200,1,Helmet,Health,10,Mana,5,,
2,마철모 2단계,마철모,350,2,Helmet,Health,20,Mana,10,,
3,마철모 3단계,마철모,500,3,Helmet,Health,30,Mana,15,,
4,마철모 4단계,마철모,650,4,Helmet,Health,40,Mana,20,,
5,마철모 5단계,마철모,800,5,Helmet,Health,50,Mana,25,,
6,마철모 6단계,마철모,950,6,Helmet,Health,60,Mana,30,,
7,마철모 7단계,마철모,1100,7,Helmet,Health,70,Mana,35,,
8,마철모 8단계,마철모,1250,8,Helmet,Health,80,Mana,40,,
9,마철모 9단계,마철모,1400,9,Helmet,Health,90,Mana,45,,
10,마철모 10단계,마철모,1550,10,Helmet,Health,100,Mana,50,,
11,어깨보호구 1단계,강한 어깨보호구,170,1,Shoulder,Defense,5,AttackPower,10,,
12,어깨보호구 2단계,강한 어깨보호구,290,2,Shoulder,Defense,10,AttackPower,20,,
13,어깨보호구 3단계,강한 어깨보호구,410,3,Shoulder,Defense,15,AttackPower,30,,
14,어깨보호구 4단계,강한 어깨보호구,530,4,Shoulder,Defense,20,AttackPower,40,,
15,어깨보호구 5단계,강한 어깨보호구,650,5,Shoulder,Defense,25,AttackPower,50,,
16,어깨보호구 6단계,강한 어깨보호구,770,6,Shoulder,Defense,30,AttackPower,60,,
17,어깨보호구 7단계,강한 어깨보호구,890,7,Shoulder,Defense,35,AttackPower,70,,
18,어깨보호구 8단계,강한 어깨보호구,1010,8,Shoulder,Defense,40,AttackPower,80,,
19,어깨보호구 9단계,강한 어깨보호구,1130,9,Shoulder,Defense,45,AttackPower,90,,
20,어깨보호구 10단계,강한 어깨보호구,1250,10,Shoulder,Defense,50,AttackPower,100,,
21,갑옷 1단계,튼튼한 갑옷,160,1,Armor,Defense,15,Health,10,,
22,갑옷 2단계,튼튼한 갑옷,270,2,Armor,Defense,30,Health,20,,
23,갑옷 3단계,튼튼한 갑옷,380,3,Armor,Defense,45,Health,30,,
24,갑옷 4단계,튼튼한 갑옷,490,4,Armor,Defense,60,Health,40,,
25,갑옷 5단계,튼튼한 갑옷,600,5,Armor,Defense,75,Health,50,,
26,갑옷 6단계,튼튼한 갑옷,710,6,Armor,Defense,90,Health,60,,
27,갑옷 7단계,튼튼한 갑옷,820,7,Armor,Defense,105,Health,70,,
28,갑옷 8단계,튼튼한 갑옷,930,8,Armor,Defense,120,Health,80,,
29,갑옷 9단계,튼튼한 갑옷,1040,9,Armor,Defense,135,Health,90,,
30,갑옷 10단계,튼튼한 갑옷,1150,10,Armor,Defense,150,Health,100,,
31,무기 1단계,강력한 검,170,1,Weapon,AttackPower,15,LifeSteel,1,,
32,무기 2단계,강력한 검,290,2,Weapon,AttackPower,30,LifeSteel,2,,
33,무기 3단계,강력한 검,410,3,Weapon,AttackPower,45,LifeSteel,3,,
34,무기 4단계,강력한 검,530,4,Weapon,AttackPower,60,LifeSteel,4,,
35,무기 5단계,강력한 검,650,5,Weapon,AttackPower,75,LifeSteel,5,,
